,Num- Vars,RMSE_CV,RMSE_full_sample,BIC_full_sample
model_0,5,25.301824144272633,25.271251158873717,21569.52860778832
model_1,7,25.305786947956214,25.268128803746453,21584.450849014764
model_2,13,25.247284818410307,25.11443298702469,21602.68542056904
model_3,57,25.12315573289413,24.658807728491034,21858.792082817345
model_4,226,257866971042583.38,24.144798047414778,22303.561786717688
