Model,CV_AUC,CV_RMSE,Expected_loss,Optimal_threshold
Logistic Regression,0.6043029561077148,0.41060121359707313,0.9915462230706299,0.7676767676767677
Random Forest,0.8505283489852541,0.40564688976925306,0.8961003545132261,0.3434343434343435
Gradient Boosting,0.857328482182087,0.39761412846131095,0.8644668666484865,0.393939393939394
